"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
40,"001083",-0.075578,51.52127,"155 Commercial St, London E1 6BJ, UK","E1  6BJ","Commercial Street","Shoreditch",16,20120104,20170919,1,82303,1119,85218,958,1023,2387,81280,1103,84195,941,"E00021676","E01004307","E02000878","E09000030","","","E1  6","E1","E"
41,"001084",-0.083911,51.520017,"4 Crown Pl, London EC2A 4BT, UK","EC2M2PY","Sun Street","Liverpool Street",25,20120104,20170608,0,176619,812,184988,785,1037,1569,175582,807,183951,780,"E00008834","E01033708","E02000371","E09000012","","","EC2M2","EC2M","EC"
42,"000979",-0.093903,51.530991,"5 Wenlock Rd, London N1 7SL, UK","N1  7GG","Wenlock Road","Hoxton",28,20120104,20170919,1,82839,873,66010,795,1491,1952,81348,853,64519,768,"E00008905","E01001779","E02000370","E09000012","","","N1  7","N1","N"
43,"001036",-0.157183,51.52026,"2 Crawford St, Marylebone, London W1U 6AY, UK","W1U 6AY","Crawford Street","Marylebone",18,20120104,20170919,1,81948,1128,77657,1119,1310,2888,80638,1100,76347,1088,"E00023830","E01004712","E02000967","E09000033","","","W1U 6","W1U","W"
44,"001034",-0.144165,51.510736,"10 Bruton St, Mayfair, London W1J, UK","W1J 6PU","Bruton Street","Mayfair",21,20120104,20170919,1,46757,1327,56968,1323,588,2558,46169,1311,56380,1310,"E00175196","E01033595","E02000972","E09000033","","","W1J 6","W1J","W"
45,"001035",-0.162298,51.522511,"16 Boston Pl, Marylebone, London NW1 6ER, UK","NW1 6QH","Boston Place","Marylebone",26,20120104,20170919,1,134758,1068,117327,1125,1391,2480,133367,1053,115936,1109,"E00023518","E01004659","E02000967","E09000033","","","NW1 6","NW1","NW"
46,"001031",-0.06691,51.507131,"Vaughan Way, St Katharine's & Wapping, London E1W, UK","E1W 1YW","Nesham Street","Wapping",16,20120104,20170919,1,135076,834,139317,845,1713,2784,133363,809,137604,820,"E00021635","E01004293","E02000890","E09000030","","","E1W 1","E1W","E"
47,"001027",-0.183846,51.523344,"42A Warwick Ave, London W9 2PT, UK","W9  1DX","Warwick Avenue Station","Maida Vale",19,20120104,20170919,1,97435,1639,93037,1988,4962,4173,92473,1503,88075,1865,"E00023755","E01004703","E02000966","E09000033","","","W9  1","W9","W"
48,"000971",-0.099141,51.512484,"17 Godliman St, London EC4V 5BD, UK","EC4V5BD","Godliman Street","St. Paul's",25,20120104,20170919,1,133180,1160,147679,1101,1571,2989,131609,1138,146108,1081,"E00000024","E01032739","E02000001","E09000001","","","EC4V5","EC4V","EC"
49,"003437",-0.145904,51.507069,"50 Curzon St, Mayfair, London W1J 7UW, UK","W1J 5HE","Curzon Street","Mayfair",16,20120104,20170919,1,59287,1510,68179,1369,1358,3872,57929,1454,66821,1318,"E00175212","E01004761","E02000977","E09000033","","","W1J 5","W1J","W"
50,"001054",-0.087459,51.528673,"55 East Rd, London N1 6AH, UK","N1  6DG","East Road","Hoxton",27,20120104,20170919,1,73713,991,65226,929,1606,3022,72107,945,63620,876,"E00176282","E01033711","E02000371","E09000012","","","N1  6","N1","N"
51,"000986",-0.104298,51.526717,"272-278 St John St, London EC1V 4PD, UK","EC1V4NB","Finsbury Library","Finsbury",29,20120104,20170919,1,70425,1021,62387,938,1468,2540,68957,989,60919,899,"E00013579","E01002725","E02000575","E09000019","","","EC1V4","EC1V","EC"
52,"001026",-0.094934,51.522954,"88 Golden Ln, London EC1Y 0UA, UK","EC1Y0UA","Roscoe Street","St. Luke's",18,20120104,20170919,1,82268,848,86102,822,848,2291,81420,833,85254,807,"E00013432","E01002706","E02000576","E09000019","","","EC1Y0","EC1Y","EC"
53,"003431",-0.143495,51.509992,"7-8 Grafton St, Mayfair, London W1S, UK","W1J 6HZ","Grafton Street","Mayfair",18,20120104,20170919,1,41883,1254,49627,1266,458,2721,41425,1238,49169,1252,"E00175196","E01033595","E02000972","E09000033","","","W1J 6","W1J","W"
54,"000967",-0.094475,51.521747,"86 Golden Ln, London EC1Y 0QT, UK","EC1Y0RS","Golden Lane","Barbican",27,20120104,20170919,1,92544,766,96105,813,798,2003,91746,755,95307,803,"E00000023","E01000003","E02000001","E09000001","","","EC1Y0","EC1Y","EC"
